127.0.0.1, 2023-02-10 15:13:16, POST, /admin/default/errors/Sensore_Cassetta_Lettere, HTTP/1.1, 303, 0.921316
127.0.0.1, 2023-02-10 15:13:16, GET, /admin/default/index, HTTP/1.1, 200, 0.070295
127.0.0.1, 2023-02-10 15:13:16, GET, /admin/static/_2.23.1/images/questions.png, HTTP/1.1, 200, 0.004879
127.0.0.1, 2023-02-10 15:13:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-02-10 15:13:20, POST, /admin/default/index, HTTP/1.1, 303, 0.010706
127.0.0.1, 2023-02-10 15:13:20, GET, /admin/default/errors/Sensore_Cassetta_Lettere, HTTP/1.1, 200, 0.030255
127.0.0.1, 2023-02-10 15:13:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-02-10 15:13:22, GET, /admin/default/edit/Sensore_Cassetta_Lettere/private/appconfig.ini, HTTP/1.1, 200, 0.041027
127.0.0.1, 2023-02-10 15:13:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-02-10 15:13:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.022486
127.0.0.1, 2023-02-10 15:13:23, GET, /admin/default/edit/Sensore_Cassetta_Lettere/private/appconfig.ini, HTTP/1.1, 200, 0.035164
127.0.0.1, 2023-02-10 15:13:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.054678
127.0.0.1, 2023-02-10 15:13:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.088809
127.0.0.1, 2023-02-10 15:13:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.068320
127.0.0.1, 2023-02-10 15:13:23, GET, /Sensore_Cassetta_Lettere/appadmin/hooks, HTTP/1.1, 500, 0.380688
127.0.0.1, 2023-02-10 15:13:27, GET, /admin/default/edit/Sensore_Cassetta_Lettere/models/db_scl.py, HTTP/1.1, 200, 0.010736
127.0.0.1, 2023-02-10 15:13:27, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.006833
127.0.0.1, 2023-02-10 15:13:28, GET, /admin/default/edit/Sensore_Cassetta_Lettere/models/db.py, HTTP/1.1, 200, 0.013694
127.0.0.1, 2023-02-10 15:13:28, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.007846
127.0.0.1, 2023-02-10 15:13:31, GET, /Sensore_Cassetta_Lettere/appadmin/index, HTTP/1.1, 500, 0.302580
127.0.0.1, 2023-02-10 15:13:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001003
127.0.0.1, 2023-02-10 15:13:35, GET, /admin/default/errors/Sensore_Cassetta_Lettere, HTTP/1.1, 200, 0.316222
127.0.0.1, 2023-02-10 15:13:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000965
127.0.0.1, 2023-02-10 15:14:20, GET, /admin/default/errors/Sensore_Cassetta_Lettere, HTTP/1.1, 200, 0.948892
127.0.0.1, 2023-02-10 15:14:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-02-10 15:14:23, GET, /Sensore_Cassetta_Lettere/appadmin/index, HTTP/1.1, 500, 0.125901
127.0.0.1, 2023-02-10 15:14:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-02-10 15:14:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.028300
127.0.0.1, 2023-02-10 15:14:23, GET, /Sensore_Cassetta_Lettere/appadmin/hooks, HTTP/1.1, 500, 0.039036
127.0.0.1, 2023-02-10 15:14:26, GET, /admin/default/errors/Sensore_Cassetta_Lettere, HTTP/1.1, 200, 0.027328
127.0.0.1, 2023-02-10 15:14:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-02-10 15:14:35, GET, /admin/default/errors/Sensore_Cassetta_Lettere, HTTP/1.1, 200, 0.021448
127.0.0.1, 2023-02-10 15:14:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-02-10 15:14:37, POST, /admin/default/errors/Sensore_Cassetta_Lettere, HTTP/1.1, 200, 0.015614
127.0.0.1, 2023-02-10 15:14:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-02-10 15:14:40, GET, /Sensore_Cassetta_Lettere/appadmin/index, HTTP/1.1, 500, 0.018571
